year,forest_pixels,deforested_pixels,non_forest_pixels,no_data_pixels,forest_pct,deforested_pct,non_forest_pct,no_data_pct,forest_area_km2,deforested_area_km2,non_forest_area_km2,no_data_area_km2
2003,374504,26866,9200,717856,33.188175387663875,2.3808384422195163,0.8152949329419918,63.61569123717461,374504.0,26866.0,9200.0,717856.0
2004,373614,27756,9200,717856,33.10930446480319,2.459709365080209,0.8152949329419918,63.61569123717461,373614.0,27756.0,9200.0,717856.0
2005,372700,28670,9200,717856,33.02830668559569,2.540707144287707,0.8152949329419918,63.61569123717461,372700.0,28670.0,9200.0,717856.0
2006,371828,29542,9200,717856,32.9510309049951,2.6179829248882958,0.8152949329419918,63.61569123717461,371828.0,29542.0,9200.0,717856.0
2007,370933,30437,9200,717856,32.871716887062156,2.6972969428212394,0.8152949329419918,63.61569123717461,370933.0,30437.0,9200.0,717856.0
2008,369960,31410,9200,717856,32.7854905860021,2.7835232438813002,0.8152949329419918,63.61569123717461,369960.0,31410.0,9200.0,717856.0
2009,368996,32374,9200,717856,32.70006185607209,2.868951973811309,0.8152949329419918,63.61569123717461,368996.0,32374.0,9200.0,717856.0
2010,368020,33350,9200,717856,32.61356969796868,2.9554441319147204,0.8152949329419918,63.61569123717461,368020.0,33350.0,9200.0,717856.0
2011,367026,34344,9200,717856,32.52548239760516,3.0435314322782356,0.8152949329419918,63.61569123717461,367026.0,34344.0,9200.0,717856.0
2012,366039,35331,9200,717856,32.4380154303428,3.130998399540599,0.8152949329419918,63.61569123717461,366039.0,35331.0,9200.0,717856.0
2013,365038,36332,9200,717856,32.34930779687813,3.219706033005266,0.8152949329419918,63.61569123717461,365038.0,36332.0,9200.0,717856.0
2014,363986,37384,9200,717856,32.2560805936765,3.3129332362068933,0.8152949329419918,63.61569123717461,363986.0,37384.0,9200.0,717856.0
2015,362922,38448,9200,717856,32.16178996230148,3.4072238675819237,0.8152949329419918,63.61569123717461,362922.0,38448.0,9200.0,717856.0
2016,361798,39572,9200,717856,32.06218219005943,3.506831639823967,0.8152949329419918,63.61569123717461,361798.0,39572.0,9200.0,717856.0
2017,360686,40684,9200,717856,31.96363784599079,3.605375983892608,0.8152949329419918,63.61569123717461,360686.0,40684.0,9200.0,717856.0
2018,359574,41796,9200,717856,31.865093501922146,3.7039203279612485,0.8152949329419918,63.61569123717461,359574.0,41796.0,9200.0,717856.0
2019,358466,42904,9200,717856,31.76690363391131,3.8021101959720887,0.8152949329419918,63.61569123717461,358466.0,42904.0,9200.0,717856.0
2020,357299,44071,9200,717856,31.663485244047905,3.905528585835491,0.8152949329419918,63.61569123717461,357299.0,44071.0,9200.0,717856.0
2021,356100,45270,9200,717856,31.557231045722094,4.011782784161301,0.8152949329419918,63.61569123717461,356100.0,45270.0,9200.0,717856.0
2022,354923,46447,9200,717856,31.45292646571419,4.116087364169205,0.8152949329419918,63.61569123717461,354923.0,46447.0,9200.0,717856.0
