year,forest_pixels,deforested_pixels,non_forest_pixels,no_data_pixels,forest_pct,deforested_pct,non_forest_pct,no_data_pct,forest_area_km2,deforested_area_km2,non_forest_area_km2,no_data_area_km2
2003,374443,26927,9200,717856,33.18276962778241,2.3862442021009795,0.8152949329419918,63.61569123717461,374443.0,26927.0,9200.0,717856.0
2004,373606,27764,9200,717856,33.108595512687586,2.4604183171958107,0.8152949329419918,63.61569123717461,373606.0,27764.0,9200.0,717856.0
2005,372790,28580,9200,717856,33.036282396896205,2.5327314329871875,0.8152949329419918,63.61569123717461,372790.0,28580.0,9200.0,717856.0
2006,371923,29447,9200,717856,32.959449711367874,2.609564118515525,0.8152949329419918,63.61569123717461,371923.0,29447.0,9200.0,717856.0
2007,371050,30320,9200,717856,32.88208531175283,2.686928518130564,0.8152949329419918,63.61569123717461,371050.0,30320.0,9200.0,717856.0
2008,370171,31199,9200,717856,32.80418919805109,2.7648246318323046,0.8152949329419918,63.61569123717461,370171.0,31199.0,9200.0,717856.0
2009,369275,32095,9200,717856,32.7247865611037,2.8442272687796986,0.8152949329419918,63.61569123717461,369275.0,32095.0,9200.0,717856.0
2010,368387,32983,9200,717856,32.6460928762719,2.9229209536114906,0.8152949329419918,63.61569123717461,368387.0,32983.0,9200.0,717856.0
2011,367499,33871,9200,717856,32.56739919144011,3.001614638443283,0.8152949329419918,63.61569123717461,367499.0,33871.0,9200.0,717856.0
2012,366599,34771,9200,717856,32.48764207843492,3.081371751448478,0.8152949329419918,63.61569123717461,366599.0,34771.0,9200.0,717856.0
2013,365682,35688,9200,717856,32.40637844218407,3.1626353876993267,0.8152949329419918,63.61569123717461,365682.0,35688.0,9200.0,717856.0
2014,364764,36606,9200,717856,32.32502618691877,3.243987642964625,0.8152949329419918,63.61569123717461,364764.0,36606.0,9200.0,717856.0
2015,363818,37552,9200,717856,32.24119259924886,3.32782123063453,0.8152949329419918,63.61569123717461,363818.0,37552.0,9200.0,717856.0
2016,362931,38439,9200,717856,32.16258753343153,3.406426296451872,0.8152949329419918,63.61569123717461,362931.0,38439.0,9200.0,717856.0
2017,361993,39377,9200,717856,32.07946289787722,3.4895509320061753,0.8152949329419918,63.61569123717461,361993.0,39377.0,9200.0,717856.0
2018,361055,40315,9200,717856,31.996338262322915,3.572675567560478,0.8152949329419918,63.61569123717461,361055.0,40315.0,9200.0,717856.0
2019,360135,41235,9200,717856,31.914808769028717,3.6542050608546774,0.8152949329419918,63.61569123717461,360135.0,41235.0,9200.0,717856.0
2020,359214,42156,9200,717856,31.833190656720067,3.7358231731633267,0.8152949329419918,63.61569123717461,359214.0,42156.0,9200.0,717856.0
2021,358320,43050,9200,717856,31.753965257801575,3.81504857208182,0.8152949329419918,63.61569123717461,358320.0,43050.0,9200.0,717856.0
2022,357413,43957,9200,717856,31.67358781169523,3.8954260181881666,0.8152949329419918,63.61569123717461,357413.0,43957.0,9200.0,717856.0
2023,356495,44875,9200,717856,31.59223555642993,3.976778273453465,0.8152949329419918,63.61569123717461,356495.0,44875.0,9200.0,717856.0
2024,355576,45794,9200,717856,31.510794682150177,4.058219147733214,0.8152949329419918,63.61569123717461,355576.0,45794.0,9200.0,717856.0
2025,354674,46696,9200,717856,31.430860331116083,4.138153498767309,0.8152949329419918,63.61569123717461,354674.0,46696.0,9200.0,717856.0
2026,353770,47600,9200,717856,31.350748742053092,4.218265087830305,0.8152949329419918,63.61569123717461,353770.0,47600.0,9200.0,717856.0
2027,352874,48496,9200,717856,31.271346105105696,4.297667724777699,0.8152949329419918,63.61569123717461,352874.0,48496.0,9200.0,717856.0
2028,351956,49414,9200,717856,31.1899938498404,4.379019980042998,0.8152949329419918,63.61569123717461,351956.0,49414.0,9200.0,717856.0
2029,351070,50300,9200,717856,31.111477403037508,4.45753642684589,0.8152949329419918,63.61569123717461,351070.0,50300.0,9200.0,717856.0
2030,350157,51213,9200,717856,31.03056824284446,4.538445587038938,0.8152949329419918,63.61569123717461,350157.0,51213.0,9200.0,717856.0
2031,349261,52109,9200,717856,30.951165605897064,4.617848223986332,0.8152949329419918,63.61569123717461,349261.0,52109.0,9200.0,717856.0
2032,348320,53050,9200,717856,30.867775113299412,4.701238716583985,0.8152949329419918,63.61569123717461,348320.0,53050.0,9200.0,717856.0
2033,347391,53979,9200,717856,30.785448048875157,4.783565781008237,0.8152949329419918,63.61569123717461,347391.0,53979.0,9200.0,717856.0
2034,346478,54892,9200,717856,30.70453888868211,4.864474941201284,0.8152949329419918,63.61569123717461,346478.0,54892.0,9200.0,717856.0
2035,345591,55779,9200,717856,30.62593382286477,4.943080007018626,0.8152949329419918,63.61569123717461,345591.0,55779.0,9200.0,717856.0
2036,344690,56680,9200,717856,30.546088090845124,5.022925739038271,0.8152949329419918,63.61569123717461,344690.0,56680.0,9200.0,717856.0
2037,343792,57578,9200,717856,30.46650821586883,5.102505614014565,0.8152949329419918,63.61569123717461,343792.0,57578.0,9200.0,717856.0
2038,342893,58477,9200,717856,30.386839721878083,5.18217410800531,0.8152949329419918,63.61569123717461,342893.0,58477.0,9200.0,717856.0
2039,341994,59376,9200,717856,30.30717122788734,5.261842601996055,0.8152949329419918,63.61569123717461,341994.0,59376.0,9200.0,717856.0
2040,341104,60266,9200,717856,30.228300305026647,5.340713524856747,0.8152949329419918,63.61569123717461,341104.0,60266.0,9200.0,717856.0
2041,340189,61181,9200,717856,30.147213906804698,5.421799923078695,0.8152949329419918,63.61569123717461,340189.0,61181.0,9200.0,717856.0
2042,339297,62073,9200,717856,30.068165745915103,5.500848083968289,0.8152949329419918,63.61569123717461,339297.0,62073.0,9200.0,717856.0
2043,338426,62944,9200,717856,29.99097858432897,5.578035245554427,0.8152949329419918,63.61569123717461,338426.0,62944.0,9200.0,717856.0
2044,337537,63833,9200,717856,29.91219628048273,5.656817549400669,0.8152949329419918,63.61569123717461,337537.0,63833.0,9200.0,717856.0
2045,337537,63833,9200,717856,29.91219628048273,5.656817549400669,0.8152949329419918,63.61569123717461,337537.0,63833.0,9200.0,717856.0
2046,335796,65574,9200,717856,29.757910576324896,5.811103253558496,0.8152949329419918,63.61569123717461,335796.0,65574.0,9200.0,717856.0
2047,334908,66462,9200,717856,29.679216891493105,5.889796938390289,0.8152949329419918,63.61569123717461,334908.0,66462.0,9200.0,717856.0
2048,334058,67312,9200,717856,29.603890729210423,5.965123100672972,0.8152949329419918,63.61569123717461,334058.0,67312.0,9200.0,717856.0
2049,333212,68158,9200,717856,29.528919042985542,6.040094786897856,0.8152949329419918,63.61569123717461,333212.0,68158.0,9200.0,717856.0
